公告日期,標案名稱,土地標示,面積_㎡,房屋標示,面積_㎡,建物門牌,標售底標金額,得標價,後續處理
1070411,公開標售本市士林區福林路100巷70號2樓之2等4戶市有不動產,士林區福林段二小段594地號,82.88,士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,214.91,士林區福林路70號3樓之2,34835900,35019999,已標脫
1070411,公開標售本市士林區福林路100巷70號2樓之2等4戶市有不動產,中山區吉林段三小段1063、1064地號,28.89,中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,236.54,中山區民生東路二段1號10樓之2,47985900,─,
1070411,公開標售本市士林區福林路100巷70號2樓之2等4戶市有不動產,萬華區萬大段二小段602地號,29.61,萬華區萬大段二小段1743建號（含共同使用部分及停車位編號32、33）,302.49,萬華區萬大路344巷36號13樓之1,36851100,36958889,已標脫
1070615,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段605地號,30,,,,42735000,─,再標售
1070615,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段606地號,48,,,,68376000,─,再標售
1070615,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段611地號,4,,,,5826400,─,再標售
1070615,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段613地號,55,,,,78347500,─,再標售
1070615,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段638-1地號,37.49,,,,50386560,─,再標售
1070615,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段709地號,22,,,,32918600,─,再標售
1070615,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段715地號,7,,,,10077900,─,再標售
1070719,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段605地號,30,,,,42735000,42735000,已標脫
1070719,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段606地號,48,,,,68376000,68376000,已標脫
1070719,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段611地號,4,,,,5826400,5826400,已標脫
1070719,公開標售臺北市中山區吉林段四小段605地號等7筆土地,中山區吉林段四小段613地號,55,,,,78347500,78347500,已標脫
